id,gender ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,result,,,,,,,,,,,,,,
236,M,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
237,M,0,1,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
238,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
239,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
240,M,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
241,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
242,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
243,M,1,0,0,1,1,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
244,F,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
245,M,0,0,0,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
246,F,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
247,M,0,1,1,0,1,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,
248,M,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
249,M,0,1,1,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
250,M,0,0,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
251,M,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
252,M,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
253,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
254,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
255,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
256,M,0,1,1,1,0,1,0,1,1,0,0,0,2,,,,,,,,,,,,,,
257,F,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
258,M,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
259,M,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
260,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
261,M,0,1,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
262,F,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
263,F,0,0,0,1,1,0,1,1,1,0,0,0,2,,,,,,,,,,,,,,
264,M,0,1,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,
265,M,0,0,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
266,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
267,F,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
268,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
269,M,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
270,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
271,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
272,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
273,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
274,F,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
275,M,0,0,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
276,F,0,0,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
277,M,0,0,1,1,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
278,F,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
279,F,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
280,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
281,F,0,0,0,1,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
282,F,0,0,0,1,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
283,M,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
284,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
285,M,1,0,1,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
286,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
287,M,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
288,F,0,0,0,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
289,F,0,0,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
290,M,0,0,0,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
291,M,0,1,1,1,0,0,0,0,1,0,0,1,2,,,,,,,,,,,,,,
292,F,0,0,0,0,1,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
293,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
294,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
295,F,0,1,1,0,0,1,0,1,1,0,0,0,2,,,,,,,,,,,,,,
296,M,0,1,1,1,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
297,F,0,0,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
298,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
299,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
300,M,0,0,1,1,1,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
301,F,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
302,F,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,
303,F,0,0,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
304,M,1,0,0,1,1,1,0,1,1,0,0,0,2,,,,,,,,,,,,,,
305,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
306,F,0,1,1,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,
307,F,0,0,1,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,
308,M,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
309,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
310,F,0,1,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
311,F,0,0,0,1,1,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
